All hps: 2023-07-11 22:21:58 model=pt_resnet dataset=mnist attack=square_l2 n_ex=10000 eps=0.05 p=0.05 n_iter=10000
Clean accuracy: 8.62%
Initial square side=5 for bumps
1: acc=8.48% acc_corr=98.38% avg#q_ae=1.0 med#q_ae=1.0 s=6->7, n_ex=862, 0s, loss=2.305, max_pert=0.1, impr=273
27: acc=8.05% acc_corr=93.39% avg#q_ae=8.2 med#q_ae=3.0 s=6->5, n_ex=862, 1s, loss=2.093, max_pert=0.1, impr=312
28: acc=8.05% acc_corr=93.39% avg#q_ae=8.2 med#q_ae=3.0 s=6->5, n_ex=862, 1s, loss=2.087, max_pert=0.1, impr=385
29: acc=8.05% acc_corr=93.39% avg#q_ae=8.2 med#q_ae=3.0 s=6->5, n_ex=862, 1s, loss=2.080, max_pert=0.1, impr=420
30: acc=8.04% acc_corr=93.27% avg#q_ae=8.6 med#q_ae=3.0 s=6->5, n_ex=862, 1s, loss=2.078, max_pert=0.0, impr=183
31: acc=8.04% acc_corr=93.27% avg#q_ae=8.6 med#q_ae=3.0 s=6->5, n_ex=862, 1s, loss=2.076, max_pert=0.1, impr=195
32: acc=8.02% acc_corr=93.04% avg#q_ae=9.4 med#q_ae=3.0 s=6->5, n_ex=862, 1s, loss=2.074, max_pert=0.1, impr=278
33: acc=8.01% acc_corr=92.92% avg#q_ae=9.8 med#q_ae=3.0 s=6->5, n_ex=862, 1s, loss=2.072, max_pert=0.1, impr=238
34: acc=8.01% acc_corr=92.92% avg#q_ae=9.8 med#q_ae=3.0 s=6->5, n_ex=862, 1s, loss=2.071, max_pert=0.0, impr=171
35: acc=7.99% acc_corr=92.69% avg#q_ae=10.7 med#q_ae=3.0 s=6->5, n_ex=862, 2s, loss=2.066, max_pert=0.0, impr=267
36: acc=7.98% acc_corr=92.58% avg#q_ae=11.1 med#q_ae=3.0 s=6->5, n_ex=862, 2s, loss=2.065, max_pert=0.1, impr=169
37: acc=7.98% acc_corr=92.58% avg#q_ae=11.1 med#q_ae=3.0 s=6->5, n_ex=862, 2s, loss=2.064, max_pert=0.1, impr=136
38: acc=7.98% acc_corr=92.58% avg#q_ae=11.1 med#q_ae=3.0 s=6->5, n_ex=862, 2s, loss=2.062, max_pert=0.1, impr=231
39: acc=7.98% acc_corr=92.58% avg#q_ae=11.1 med#q_ae=3.0 s=6->5, n_ex=862, 2s, loss=2.061, max_pert=0.1, impr=154
40: acc=7.98% acc_corr=92.58% avg#q_ae=11.1 med#q_ae=3.0 s=6->5, n_ex=862, 2s, loss=2.060, max_pert=0.0, impr=207
41: acc=7.98% acc_corr=92.58% avg#q_ae=11.1 med#q_ae=3.0 s=6->5, n_ex=862, 2s, loss=2.057, max_pert=0.1, impr=252
42: acc=7.97% acc_corr=92.46% avg#q_ae=11.6 med#q_ae=3.0 s=6->5, n_ex=862, 2s, loss=2.054, max_pert=0.1, impr=296
43: acc=7.97% acc_corr=92.46% avg#q_ae=11.6 med#q_ae=3.0 s=6->5, n_ex=862, 2s, loss=2.052, max_pert=0.1, impr=266
44: acc=7.96% acc_corr=92.34% avg#q_ae=12.1 med#q_ae=3.0 s=6->5, n_ex=862, 2s, loss=2.050, max_pert=0.1, impr=244
45: acc=7.94% acc_corr=92.11% avg#q_ae=13.1 med#q_ae=4.0 s=6->5, n_ex=862, 2s, loss=2.048, max_pert=0.1, impr=294
46: acc=7.93% acc_corr=92.00% avg#q_ae=13.6 med#q_ae=5.0 s=6->5, n_ex=862, 2s, loss=2.047, max_pert=0.1, impr=191
47: acc=7.93% acc_corr=92.00% avg#q_ae=13.6 med#q_ae=5.0 s=6->5, n_ex=862, 2s, loss=2.046, max_pert=0.1, impr=157
48: acc=7.93% acc_corr=92.00% avg#q_ae=13.6 med#q_ae=5.0 s=6->5, n_ex=862, 2s, loss=2.045, max_pert=0.1, impr=165
49: acc=7.90% acc_corr=91.65% avg#q_ae=15.1 med#q_ae=6.5 s=6->5, n_ex=862, 2s, loss=2.044, max_pert=0.1, impr=212
50: acc=7.90% acc_corr=91.65% avg#q_ae=15.1 med#q_ae=6.5 s=6->5, n_ex=862, 2s, loss=2.041, max_pert=0.1, impr=255
51: acc=7.89% acc_corr=91.53% avg#q_ae=15.6 med#q_ae=8.0 s=6->5, n_ex=862, 2s, loss=2.040, max_pert=0.1, impr=246
52: acc=7.88% acc_corr=91.42% avg#q_ae=16.1 med#q_ae=9.0 s=6->3, n_ex=862, 2s, loss=2.038, max_pert=0.1, impr=303
53: acc=7.88% acc_corr=91.42% avg#q_ae=16.1 med#q_ae=9.0 s=6->3, n_ex=862, 2s, loss=2.037, max_pert=0.1, impr=301
54: acc=7.88% acc_corr=91.42% avg#q_ae=16.1 med#q_ae=9.0 s=6->3, n_ex=862, 2s, loss=2.035, max_pert=0.1, impr=261
55: acc=7.87% acc_corr=91.30% avg#q_ae=16.6 med#q_ae=10.0 s=6->3, n_ex=862, 2s, loss=2.034, max_pert=0.1, impr=194
56: acc=7.85% acc_corr=91.07% avg#q_ae=17.7 med#q_ae=11.0 s=6->3, n_ex=862, 2s, loss=2.031, max_pert=0.1, impr=168
57: acc=7.83% acc_corr=90.84% avg#q_ae=18.7 med#q_ae=11.0 s=6->3, n_ex=862, 2s, loss=2.030, max_pert=0.1, impr=272
58: acc=7.82% acc_corr=90.72% avg#q_ae=19.2 med#q_ae=11.0 s=6->3, n_ex=862, 3s, loss=2.028, max_pert=0.1, impr=232
59: acc=7.82% acc_corr=90.72% avg#q_ae=19.2 med#q_ae=11.0 s=6->3, n_ex=862, 3s, loss=2.027, max_pert=0.0, impr=263
60: acc=7.82% acc_corr=90.72% avg#q_ae=19.2 med#q_ae=11.0 s=6->3, n_ex=862, 3s, loss=2.026, max_pert=0.1, impr=119
61: acc=7.82% acc_corr=90.72% avg#q_ae=19.2 med#q_ae=11.0 s=6->3, n_ex=862, 3s, loss=2.025, max_pert=0.1, impr=203
62: acc=7.82% acc_corr=90.72% avg#q_ae=19.2 med#q_ae=11.0 s=6->3, n_ex=862, 3s, loss=2.024, max_pert=0.1, impr=211
63: acc=7.82% acc_corr=90.72% avg#q_ae=19.2 med#q_ae=11.0 s=6->3, n_ex=862, 3s, loss=2.023, max_pert=0.1, impr=207
64: acc=7.82% acc_corr=90.72% avg#q_ae=19.2 med#q_ae=11.0 s=6->3, n_ex=862, 3s, loss=2.021, max_pert=0.1, impr=231
65: acc=7.82% acc_corr=90.72% avg#q_ae=19.2 med#q_ae=11.0 s=6->3, n_ex=862, 3s, loss=2.020, max_pert=0.1, impr=215
66: acc=7.81% acc_corr=90.60% avg#q_ae=19.8 med#q_ae=11.0 s=6->3, n_ex=862, 3s, loss=2.018, max_pert=0.1, impr=244
67: acc=7.81% acc_corr=90.60% avg#q_ae=19.8 med#q_ae=11.0 s=6->3, n_ex=862, 3s, loss=2.017, max_pert=0.1, impr=213
68: acc=7.81% acc_corr=90.60% avg#q_ae=19.8 med#q_ae=11.0 s=6->3, n_ex=862, 3s, loss=2.016, max_pert=0.1, impr=208
69: acc=7.81% acc_corr=90.60% avg#q_ae=19.8 med#q_ae=11.0 s=6->3, n_ex=862, 3s, loss=2.015, max_pert=0.1, impr=245
70: acc=7.81% acc_corr=90.60% avg#q_ae=19.8 med#q_ae=11.0 s=6->3, n_ex=862, 3s, loss=2.014, max_pert=0.1, impr=100
71: acc=7.79% acc_corr=90.37% avg#q_ae=21.0 med#q_ae=12.0 s=6->3, n_ex=862, 3s, loss=2.013, max_pert=0.1, impr=242
72: acc=7.79% acc_corr=90.37% avg#q_ae=21.0 med#q_ae=12.0 s=6->3, n_ex=862, 3s, loss=2.013, max_pert=0.1, impr=204
73: acc=7.79% acc_corr=90.37% avg#q_ae=21.0 med#q_ae=12.0 s=6->3, n_ex=862, 3s, loss=2.012, max_pert=0.1, impr=205
74: acc=7.79% acc_corr=90.37% avg#q_ae=21.0 med#q_ae=12.0 s=6->3, n_ex=862, 3s, loss=2.011, max_pert=0.1, impr=197
75: acc=7.79% acc_corr=90.37% avg#q_ae=21.0 med#q_ae=12.0 s=6->3, n_ex=862, 3s, loss=2.010, max_pert=0.1, impr=203
76: acc=7.78% acc_corr=90.26% avg#q_ae=21.7 med#q_ae=12.5 s=6->3, n_ex=862, 3s, loss=2.009, max_pert=0.1, impr=194
77: acc=7.77% acc_corr=90.14% avg#q_ae=22.4 med#q_ae=13.0 s=6->3, n_ex=862, 3s, loss=2.008, max_pert=0.1, impr=164
78: acc=7.77% acc_corr=90.14% avg#q_ae=22.4 med#q_ae=13.0 s=6->3, n_ex=862, 3s, loss=2.008, max_pert=0.1, impr=168
79: acc=7.76% acc_corr=90.02% avg#q_ae=23.0 med#q_ae=13.5 s=6->3, n_ex=862, 3s, loss=2.005, max_pert=0.0, impr=321
80: acc=7.76% acc_corr=90.02% avg#q_ae=23.0 med#q_ae=13.5 s=6->3, n_ex=862, 3s, loss=2.004, max_pert=0.1, impr=180
81: acc=7.76% acc_corr=90.02% avg#q_ae=23.0 med#q_ae=13.5 s=6->3, n_ex=862, 3s, loss=2.003, max_pert=0.1, impr=171
82: acc=7.75% acc_corr=89.91% avg#q_ae=23.7 med#q_ae=14.0 s=6->3, n_ex=862, 4s, loss=2.002, max_pert=0.1, impr=156
83: acc=7.75% acc_corr=89.91% avg#q_ae=23.7 med#q_ae=14.0 s=6->3, n_ex=862, 4s, loss=2.001, max_pert=0.1, impr=204
84: acc=7.73% acc_corr=89.68% avg#q_ae=25.1 med#q_ae=14.0 s=6->3, n_ex=862, 4s, loss=1.997, max_pert=0.1, impr=354
85: acc=7.73% acc_corr=89.68% avg#q_ae=25.1 med#q_ae=14.0 s=6->3, n_ex=862, 4s, loss=1.996, max_pert=0.1, impr=185
86: acc=7.73% acc_corr=89.68% avg#q_ae=25.1 med#q_ae=14.0 s=6->3, n_ex=862, 4s, loss=1.994, max_pert=0.1, impr=218
87: acc=7.73% acc_corr=89.68% avg#q_ae=25.1 med#q_ae=14.0 s=6->3, n_ex=862, 4s, loss=1.994, max_pert=0.1, impr=193
88: acc=7.73% acc_corr=89.68% avg#q_ae=25.1 med#q_ae=14.0 s=6->3, n_ex=862, 4s, loss=1.993, max_pert=0.1, impr=197
89: acc=7.72% acc_corr=89.56% avg#q_ae=25.8 med#q_ae=15.5 s=6->3, n_ex=862, 4s, loss=1.992, max_pert=0.1, impr=152
90: acc=7.72% acc_corr=89.56% avg#q_ae=25.8 med#q_ae=15.5 s=6->3, n_ex=862, 4s, loss=1.991, max_pert=0.1, impr=197
91: acc=7.72% acc_corr=89.56% avg#q_ae=25.8 med#q_ae=15.5 s=6->3, n_ex=862, 4s, loss=1.990, max_pert=0.1, impr=209
92: acc=7.71% acc_corr=89.44% avg#q_ae=26.6 med#q_ae=17.0 s=6->3, n_ex=862, 4s, loss=1.989, max_pert=0.1, impr=154
93: acc=7.71% acc_corr=89.44% avg#q_ae=26.6 med#q_ae=17.0 s=6->3, n_ex=862, 4s, loss=1.989, max_pert=0.1, impr=184
94: acc=7.70% acc_corr=89.33% avg#q_ae=27.3 med#q_ae=17.5 s=6->3, n_ex=862, 4s, loss=1.987, max_pert=0.1, impr=209
95: acc=7.70% acc_corr=89.33% avg#q_ae=27.3 med#q_ae=17.5 s=6->3, n_ex=862, 4s, loss=1.986, max_pert=0.1, impr=240
96: acc=7.70% acc_corr=89.33% avg#q_ae=27.3 med#q_ae=17.5 s=6->3, n_ex=862, 4s, loss=1.985, max_pert=0.1, impr=170
97: acc=7.70% acc_corr=89.33% avg#q_ae=27.3 med#q_ae=17.5 s=6->3, n_ex=862, 4s, loss=1.985, max_pert=0.1, impr=160
98: acc=7.70% acc_corr=89.33% avg#q_ae=27.3 med#q_ae=17.5 s=6->3, n_ex=862, 4s, loss=1.983, max_pert=0.1, impr=238
99: acc=7.70% acc_corr=89.33% avg#q_ae=27.3 med#q_ae=17.5 s=6->3, n_ex=862, 4s, loss=1.982, max_pert=0.1, impr=185
100: acc=7.69% acc_corr=89.21% avg#q_ae=28.1 med#q_ae=18.0 s=6->3, n_ex=862, 4s, loss=1.980, max_pert=0.1, impr=158
101: acc=7.69% acc_corr=89.21% avg#q_ae=28.1 med#q_ae=18.0 s=6->3, n_ex=862, 4s, loss=1.980, max_pert=0.1, impr=119
102: acc=7.69% acc_corr=89.21% avg#q_ae=28.1 med#q_ae=18.0 s=6->3, n_ex=862, 4s, loss=1.978, max_pert=0.1, impr=242
103: acc=7.69% acc_corr=89.21% avg#q_ae=28.1 med#q_ae=18.0 s=6->3, n_ex=862, 4s, loss=1.977, max_pert=0.1, impr=182
104: acc=7.69% acc_corr=89.21% avg#q_ae=28.1 med#q_ae=18.0 s=6->3, n_ex=862, 4s, loss=1.976, max_pert=0.1, impr=198
105: acc=7.69% acc_corr=89.21% avg#q_ae=28.1 med#q_ae=18.0 s=6->3, n_ex=862, 4s, loss=1.975, max_pert=0.1, impr=192
106: acc=7.68% acc_corr=89.10% avg#q_ae=28.9 med#q_ae=19.0 s=6->3, n_ex=862, 4s, loss=1.974, max_pert=0.1, impr=159
107: acc=7.68% acc_corr=89.10% avg#q_ae=28.9 med#q_ae=19.0 s=6->3, n_ex=862, 5s, loss=1.973, max_pert=0.1, impr=147
108: acc=7.68% acc_corr=89.10% avg#q_ae=28.9 med#q_ae=19.0 s=6->3, n_ex=862, 5s, loss=1.972, max_pert=0.1, impr=231
109: acc=7.67% acc_corr=88.98% avg#q_ae=29.8 med#q_ae=20.0 s=6->3, n_ex=862, 5s, loss=1.971, max_pert=0.1, impr=213
110: acc=7.67% acc_corr=88.98% avg#q_ae=29.8 med#q_ae=20.0 s=6->3, n_ex=862, 5s, loss=1.971, max_pert=0.1, impr=131
111: acc=7.66% acc_corr=88.86% avg#q_ae=30.6 med#q_ae=21.0 s=6->3, n_ex=862, 5s, loss=1.970, max_pert=0.1, impr=141
112: acc=7.66% acc_corr=88.86% avg#q_ae=30.6 med#q_ae=21.0 s=6->3, n_ex=862, 5s, loss=1.969, max_pert=0.1, impr=149
113: acc=7.66% acc_corr=88.86% avg#q_ae=30.6 med#q_ae=21.0 s=6->3, n_ex=862, 5s, loss=1.968, max_pert=0.1, impr=156
114: acc=7.65% acc_corr=88.75% avg#q_ae=31.5 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.967, max_pert=0.1, impr=157
115: acc=7.65% acc_corr=88.75% avg#q_ae=31.5 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.966, max_pert=0.1, impr=183
116: acc=7.64% acc_corr=88.63% avg#q_ae=32.4 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.965, max_pert=0.1, impr=180
117: acc=7.64% acc_corr=88.63% avg#q_ae=32.4 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.964, max_pert=0.1, impr=114
118: acc=7.64% acc_corr=88.63% avg#q_ae=32.4 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.963, max_pert=0.1, impr=203
119: acc=7.63% acc_corr=88.52% avg#q_ae=33.3 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.962, max_pert=0.1, impr=159
120: acc=7.63% acc_corr=88.52% avg#q_ae=33.3 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.962, max_pert=0.1, impr=98
121: acc=7.63% acc_corr=88.52% avg#q_ae=33.3 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.961, max_pert=0.1, impr=191
122: acc=7.63% acc_corr=88.52% avg#q_ae=33.3 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.960, max_pert=0.1, impr=154
123: acc=7.63% acc_corr=88.52% avg#q_ae=33.3 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.959, max_pert=0.1, impr=171
124: acc=7.63% acc_corr=88.52% avg#q_ae=33.3 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.959, max_pert=0.1, impr=148
125: acc=7.63% acc_corr=88.52% avg#q_ae=33.3 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.958, max_pert=0.1, impr=165
126: acc=7.63% acc_corr=88.52% avg#q_ae=33.3 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.958, max_pert=0.1, impr=130
127: acc=7.63% acc_corr=88.52% avg#q_ae=33.3 med#q_ae=22.0 s=6->3, n_ex=862, 5s, loss=1.957, max_pert=0.1, impr=145
128: acc=7.62% acc_corr=88.40% avg#q_ae=34.2 med#q_ae=23.0 s=6->3, n_ex=862, 5s, loss=1.956, max_pert=0.1, impr=143
129: acc=7.62% acc_corr=88.40% avg#q_ae=34.2 med#q_ae=23.0 s=6->3, n_ex=862, 5s, loss=1.956, max_pert=0.1, impr=146
130: acc=7.62% acc_corr=88.40% avg#q_ae=34.2 med#q_ae=23.0 s=6->3, n_ex=862, 5s, loss=1.955, max_pert=0.1, impr=96
131: acc=7.61% acc_corr=88.28% avg#q_ae=35.2 med#q_ae=24.0 s=6->3, n_ex=862, 6s, loss=1.955, max_pert=0.1, impr=148
132: acc=7.61% acc_corr=88.28% avg#q_ae=35.2 med#q_ae=24.0 s=6->3, n_ex=862, 6s, loss=1.954, max_pert=0.1, impr=127
133: acc=7.61% acc_corr=88.28% avg#q_ae=35.2 med#q_ae=24.0 s=6->3, n_ex=862, 6s, loss=1.953, max_pert=0.1, impr=147
134: acc=7.60% acc_corr=88.17% avg#q_ae=36.2 med#q_ae=24.5 s=6->3, n_ex=862, 6s, loss=1.945, max_pert=0.1, impr=244
135: acc=7.60% acc_corr=88.17% avg#q_ae=36.2 med#q_ae=24.5 s=6->3, n_ex=862, 6s, loss=1.944, max_pert=0.1, impr=142
136: acc=7.59% acc_corr=88.05% avg#q_ae=37.2 med#q_ae=25.0 s=6->3, n_ex=862, 6s, loss=1.935, max_pert=0.1, impr=362
137: acc=7.59% acc_corr=88.05% avg#q_ae=37.2 med#q_ae=25.0 s=6->3, n_ex=862, 6s, loss=1.934, max_pert=0.1, impr=224
138: acc=7.59% acc_corr=88.05% avg#q_ae=37.2 med#q_ae=25.0 s=6->3, n_ex=862, 6s, loss=1.932, max_pert=0.1, impr=202
139: acc=7.59% acc_corr=88.05% avg#q_ae=37.2 med#q_ae=25.0 s=6->3, n_ex=862, 6s, loss=1.931, max_pert=0.1, impr=147
140: acc=7.58% acc_corr=87.94% avg#q_ae=38.2 med#q_ae=25.5 s=6->3, n_ex=862, 6s, loss=1.930, max_pert=0.1, impr=207
141: acc=7.58% acc_corr=87.94% avg#q_ae=38.2 med#q_ae=25.5 s=6->3, n_ex=862, 6s, loss=1.929, max_pert=0.1, impr=176
142: acc=7.57% acc_corr=87.82% avg#q_ae=39.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.928, max_pert=0.1, impr=212
143: acc=7.57% acc_corr=87.82% avg#q_ae=39.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.928, max_pert=0.1, impr=167
144: acc=7.57% acc_corr=87.82% avg#q_ae=39.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.927, max_pert=0.1, impr=171
145: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.926, max_pert=0.1, impr=131
146: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.925, max_pert=0.1, impr=178
147: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.925, max_pert=0.1, impr=148
148: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.925, max_pert=0.1, impr=96
149: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.924, max_pert=0.1, impr=156
150: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.923, max_pert=0.1, impr=138
151: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.923, max_pert=0.1, impr=105
152: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.922, max_pert=0.1, impr=163
153: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.922, max_pert=0.1, impr=110
154: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.921, max_pert=0.1, impr=160
155: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 6s, loss=1.921, max_pert=0.1, impr=175
156: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 7s, loss=1.920, max_pert=0.1, impr=147
157: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 7s, loss=1.920, max_pert=0.1, impr=126
158: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 7s, loss=1.919, max_pert=0.1, impr=158
159: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 7s, loss=1.919, max_pert=0.1, impr=127
160: acc=7.56% acc_corr=87.70% avg#q_ae=40.2 med#q_ae=26.0 s=6->3, n_ex=862, 7s, loss=1.918, max_pert=0.1, impr=120
161: acc=7.55% acc_corr=87.59% avg#q_ae=41.3 med#q_ae=26.0 s=6->3, n_ex=862, 7s, loss=1.915, max_pert=0.1, impr=155
162: acc=7.55% acc_corr=87.59% avg#q_ae=41.3 med#q_ae=26.0 s=6->3, n_ex=862, 7s, loss=1.914, max_pert=0.1, impr=132
163: acc=7.55% acc_corr=87.59% avg#q_ae=41.3 med#q_ae=26.0 s=6->3, n_ex=862, 7s, loss=1.913, max_pert=0.1, impr=150
164: acc=7.55% acc_corr=87.59% avg#q_ae=41.3 med#q_ae=26.0 s=6->3, n_ex=862, 7s, loss=1.911, max_pert=0.1, impr=191
165: acc=7.53% acc_corr=87.35% avg#q_ae=43.6 med#q_ae=26.0 s=6->3, n_ex=862, 7s, loss=1.911, max_pert=0.1, impr=145
166: acc=7.53% acc_corr=87.35% avg#q_ae=43.6 med#q_ae=26.0 s=6->3, n_ex=862, 7s, loss=1.910, max_pert=0.1, impr=142
167: acc=7.53% acc_corr=87.35% avg#q_ae=43.6 med#q_ae=26.0 s=6->3, n_ex=862, 7s, loss=1.909, max_pert=0.1, impr=139
168: acc=7.52% acc_corr=87.24% avg#q_ae=44.7 med#q_ae=26.5 s=6->3, n_ex=862, 7s, loss=1.909, max_pert=0.1, impr=161
169: acc=7.52% acc_corr=87.24% avg#q_ae=44.7 med#q_ae=26.5 s=6->3, n_ex=862, 7s, loss=1.908, max_pert=0.1, impr=139
170: acc=7.51% acc_corr=87.12% avg#q_ae=45.9 med#q_ae=27.0 s=6->3, n_ex=862, 7s, loss=1.908, max_pert=0.1, impr=144
171: acc=7.51% acc_corr=87.12% avg#q_ae=45.9 med#q_ae=27.0 s=6->3, n_ex=862, 7s, loss=1.907, max_pert=0.1, impr=155
