All hps: 2023-07-11 23:21:39 model=pt_resnet dataset=mnist attack=square_l2 n_ex=100 eps=0.05 p=0.05 n_iter=10000
Clean accuracy: 9.00%
Initial square side=5 for bumps
1: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.409, max_pert=0.0, impr=3
96: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.193, max_pert=0.1, impr=4
97: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.192, max_pert=0.0, impr=2
98: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.191, max_pert=0.1, impr=4
99: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.191, max_pert=0.1, impr=2
100: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.191, max_pert=0.1, impr=1
101: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.191, max_pert=0.1, impr=1
102: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.190, max_pert=0.0, impr=2
103: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.190, max_pert=0.1, impr=1
104: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.177, max_pert=0.0, impr=2
105: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.176, max_pert=0.1, impr=2
106: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.176, max_pert=0.0, impr=2
107: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.175, max_pert=0.1, impr=1
108: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.175, max_pert=0.0, impr=0
109: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.175, max_pert=0.0, impr=0
110: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.175, max_pert=0.1, impr=2
111: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.174, max_pert=0.0, impr=2
112: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.172, max_pert=0.1, impr=3
113: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.172, max_pert=0.0, impr=1
114: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.172, max_pert=0.0, impr=0
115: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.171, max_pert=0.1, impr=2
116: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.171, max_pert=0.1, impr=1
117: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.171, max_pert=0.1, impr=0
118: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.171, max_pert=0.0, impr=0
119: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.170, max_pert=0.0, impr=4
120: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.170, max_pert=0.0, impr=1
121: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.168, max_pert=0.0, impr=3
122: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.168, max_pert=0.1, impr=1
123: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.167, max_pert=0.0, impr=1
124: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.166, max_pert=0.1, impr=3
125: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.166, max_pert=0.0, impr=0
126: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.165, max_pert=0.0, impr=3
127: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.165, max_pert=0.1, impr=1
128: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.165, max_pert=0.0, impr=3
129: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.163, max_pert=0.0, impr=3
130: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.162, max_pert=0.0, impr=3
131: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.161, max_pert=0.0, impr=2
132: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.161, max_pert=0.0, impr=1
133: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.159, max_pert=0.0, impr=5
134: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.158, max_pert=0.1, impr=1
135: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.156, max_pert=0.1, impr=3
136: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.156, max_pert=0.0, impr=2
137: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.155, max_pert=0.1, impr=4
138: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.155, max_pert=0.0, impr=2
139: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.155, max_pert=0.1, impr=1
140: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.154, max_pert=0.0, impr=3
141: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.154, max_pert=0.1, impr=1
142: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.154, max_pert=0.0, impr=1
143: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.153, max_pert=0.1, impr=2
144: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.152, max_pert=0.1, impr=1
145: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.152, max_pert=0.1, impr=1
146: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.152, max_pert=0.0, impr=3
147: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.152, max_pert=0.1, impr=1
148: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.152, max_pert=0.0, impr=1
149: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.152, max_pert=0.1, impr=0
150: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.151, max_pert=0.1, impr=2
151: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.147, max_pert=0.1, impr=2
152: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.147, max_pert=0.1, impr=2
153: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.140, max_pert=0.0, impr=3
154: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.140, max_pert=0.1, impr=2
155: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.139, max_pert=0.1, impr=1
156: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.139, max_pert=0.1, impr=0
157: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.139, max_pert=0.1, impr=0
158: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.139, max_pert=0.0, impr=0
159: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.139, max_pert=0.0, impr=1
160: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.139, max_pert=0.1, impr=0
161: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.139, max_pert=0.0, impr=0
162: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.139, max_pert=0.0, impr=2
163: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.139, max_pert=0.0, impr=0
164: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.139, max_pert=0.1, impr=1
165: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.139, max_pert=0.0, impr=0
166: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.139, max_pert=0.1, impr=1
167: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.138, max_pert=0.1, impr=2
168: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.138, max_pert=0.0, impr=1
169: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.138, max_pert=0.1, impr=0
170: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.138, max_pert=0.1, impr=1
171: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.138, max_pert=0.0, impr=0
172: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.138, max_pert=0.0, impr=1
173: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 1s, loss=2.138, max_pert=0.0, impr=2
